:START_ID,:END_ID,:TYPE
#3,#1,ThePerson
#3,#2,TheOrganization
#4,#2,ApplicationDeveloper
#5,#3,OwningUser
#5,#4,OwningApplication
#5,#3,LastModifyingUser
#5,#4,LastModifyingApplication
#10,#9,Location
#10,#8,Axis
#10,#7,RefDirection
#11,#10,WorldCoordinateSystem
#11,#6,TrueNorth
#15,#0,ValueComponent
#15,#14,UnitComponent
#16,#12,Dimensions
#16,#15,ConversionFactor
#17,#13,Units
#17,#16,Units
#18,#5,OwnerHistory
#18,#11,RepresentationContexts
#18,#17,UnitsInContext
#22,#21,Location
#22,#20,Axis
#22,#19,RefDirection
#23,#22,RelativePlacement
#24,#5,OwnerHistory
#24,#23,ObjectPlacement
#24,#2325,Representation
#25,#5,OwnerHistory
#25,#18,RelatingObject
#25,#24,RelatedObjects
#29,#28,Location
#29,#27,Axis
#29,#26,RefDirection
#30,#23,PlacementRelTo
#30,#29,RelativePlacement
#31,#5,OwnerHistory
#31,#30,ObjectPlacement
#32,#5,OwnerHistory
#32,#24,RelatingObject
#32,#31,RelatedObjects
#36,#35,Location
#36,#34,Axis
#36,#33,RefDirection
#37,#30,PlacementRelTo
#37,#36,RelativePlacement
#38,#5,OwnerHistory
#38,#37,ObjectPlacement
#39,#5,OwnerHistory
#39,#31,RelatingObject
#39,#38,RelatedObjects
#40,#5,OwnerHistory
#40,#65,ObjectPlacement
#40,#42,Representation
#41,#5,OwnerHistory
#41,#40,RelatedElements
#41,#38,RelatingStructure
#42,#43,Representations
#42,#44,Representations
#43,#11,ContextOfItems
#43,#60,Items
#44,#11,ContextOfItems
#44,#57,Items
#54,#53,Location
#54,#52,Axis
#54,#51,RefDirection
#55,#45,Points
#55,#46,Points
#55,#47,Points
#55,#48,Points
#55,#49,Points
#55,#45,Points
#56,#55,OuterCurve
#57,#56,SweptArea
#57,#54,Position
#57,#50,ExtrudedDirection
#60,#58,Points
#60,#59,Points
#64,#63,Location
#64,#62,Axis
#64,#61,RefDirection
#65,#37,PlacementRelTo
#65,#64,RelativePlacement
#67,#66,SurfaceColour
#68,#67,Styles
#69,#68,Styles
#70,#60,Item
#70,#69,Styles
#71,#57,Item
#71,#69,Styles
#72,#5,OwnerHistory
#72,#93,ObjectPlacement
#72,#75,Representation
#73,#5,OwnerHistory
#73,#72,RelatedElements
#73,#38,RelatingStructure
#74,#11,ContextOfItems
#74,#88,Items
#75,#74,Representations
#85,#84,Location
#85,#83,Axis
#85,#82,RefDirection
#86,#76,Points
#86,#77,Points
#86,#78,Points
#86,#79,Points
#86,#80,Points
#86,#76,Points
#87,#86,OuterCurve
#88,#87,SweptArea
#88,#85,Position
#88,#81,ExtrudedDirection
#92,#91,Location
#92,#90,Axis
#92,#89,RefDirection
#93,#37,PlacementRelTo
#93,#92,RelativePlacement
#95,#94,SurfaceColour
#96,#95,Styles
#97,#96,Styles
#98,#88,Item
#98,#97,Styles
#99,#11,ContextOfItems
#99,#113,Items
#100,#99,Representations
#110,#109,Location
#110,#108,Axis
#110,#107,RefDirection
#111,#101,Points
#111,#102,Points
#111,#103,Points
#111,#104,Points
#111,#105,Points
#111,#101,Points
#112,#111,OuterCurve
#113,#112,SweptArea
#113,#110,Position
#113,#106,ExtrudedDirection
#117,#116,Location
#117,#115,Axis
#117,#114,RefDirection
#118,#65,PlacementRelTo
#118,#117,RelativePlacement
#119,#5,OwnerHistory
#119,#118,ObjectPlacement
#119,#100,Representation
#120,#5,OwnerHistory
#120,#40,RelatingBuildingElement
#120,#119,RelatedOpeningElement
#121,#11,ContextOfItems
#121,#135,Items
#122,#121,Representations
#132,#131,Location
#132,#130,Axis
#132,#129,RefDirection
#133,#123,Points
#133,#124,Points
#133,#125,Points
#133,#126,Points
#133,#127,Points
#133,#123,Points
#134,#133,OuterCurve
#135,#134,SweptArea
#135,#132,Position
#135,#128,ExtrudedDirection
#139,#138,Location
#139,#137,Axis
#139,#136,RefDirection
#140,#37,PlacementRelTo
#140,#139,RelativePlacement
#141,#5,OwnerHistory
#141,#140,ObjectPlacement
#141,#122,Representation
#142,#5,OwnerHistory
#142,#40,RelatingBuildingElement
#142,#141,RelatedOpeningElement
#146,#145,Location
#146,#144,Axis
#146,#143,RefDirection
#147,#37,PlacementRelTo
#147,#146,RelativePlacement
#148,#11,ContextOfItems
#148,#161,Items
#153,#152,Location
#153,#151,Axis
#153,#150,RefDirection
#159,#154,Points
#159,#155,Points
#159,#156,Points
#159,#157,Points
#159,#158,Points
#159,#154,Points
#160,#159,OuterCurve
#161,#160,SweptArea
#161,#153,Position
#161,#149,ExtrudedDirection
#165,#164,Location
#165,#163,Axis
#165,#162,RefDirection
#166,#165,MappingOrigin
#166,#148,MappedRepresentation
#168,#167,LocalOrigin
#169,#166,MappingSource
#169,#168,MappingTarget
#170,#11,ContextOfItems
#170,#169,Items
#171,#170,Representations
#175,#174,Location
#175,#173,Axis
#175,#172,RefDirection
#176,#147,PlacementRelTo
#176,#175,RelativePlacement
#178,#177,LocalOrigin
#179,#166,MappingSource
#179,#178,MappingTarget
#180,#11,ContextOfItems
#180,#179,Items
#181,#180,Representations
#185,#184,Location
#185,#183,Axis
#185,#182,RefDirection
#186,#147,PlacementRelTo
#186,#185,RelativePlacement
#187,#5,OwnerHistory
#187,#188,RelatingObject
#187,#189,RelatedObjects
#187,#190,RelatedObjects
#188,#5,OwnerHistory
#188,#147,ObjectPlacement
#189,#5,OwnerHistory
#189,#176,ObjectPlacement
#189,#171,Representation
#190,#5,OwnerHistory
#190,#186,ObjectPlacement
#190,#181,Representation
#191,#5,OwnerHistory
#191,#188,RelatedElements
#191,#38,RelatingStructure
#193,#192,SurfaceColour
#194,#193,Styles
#195,#194,Styles
#196,#161,Item
#196,#195,Styles
#197,#198,Representations
#197,#199,Representations
#198,#11,ContextOfItems
#198,#215,Items
#199,#11,ContextOfItems
#199,#212,Items
#209,#208,Location
#209,#207,Axis
#209,#206,RefDirection
#210,#200,Points
#210,#201,Points
#210,#202,Points
#210,#203,Points
#210,#204,Points
#210,#200,Points
#211,#210,OuterCurve
#212,#211,SweptArea
#212,#209,Position
#212,#205,ExtrudedDirection
#215,#213,Points
#215,#214,Points
#219,#218,Location
