:START_ID,:END_ID,:TYPE
#5,#1,ApplicationDeveloper
#31,#6,Location
#32,#53648,PlacementRelTo
#32,#31,RelativePlacement
#38,#35,ThePerson
#38,#37,TheOrganization
#41,#38,OwningUser
#41,#5,OwningApplication
#48,#0,ValueComponent
#48,#46,UnitComponent
#49,#47,Dimensions
#49,#48,ConversionFactor
#51,#50,Unit
#52,#43,Unit
#53,#51,Elements
#53,#52,Elements
#59,#50,Unit
#60,#57,Unit
#61,#55,Unit
#62,#59,Elements
#62,#60,Elements
#62,#61,Elements
#65,#43,Unit
#66,#55,Unit
#67,#65,Elements
#67,#66,Elements
#76,#50,Unit
#77,#43,Unit
#78,#55,Unit
#79,#74,Unit
#80,#76,Elements
#80,#77,Elements
#80,#78,Elements
#80,#79,Elements
#82,#43,Unit
#83,#55,Unit
#84,#82,Elements
#84,#83,Elements
#87,#43,Unit
#88,#50,Unit
#89,#55,Unit
#90,#87,Elements
#90,#88,Elements
#90,#89,Elements
#92,#42,Units
#92,#44,Units
#92,#45,Units
#92,#49,Units
#92,#50,Units
#92,#53,Units
#92,#55,Units
#92,#56,Units
#92,#58,Units
#92,#62,Units
#92,#67,Units
#92,#69,Units
#92,#70,Units
#92,#71,Units
#92,#72,Units
#92,#73,Units
#92,#74,Units
#92,#75,Units
#92,#80,Units
#92,#84,Units
#92,#86,Units
#92,#90,Units
#94,#6,Location
#97,#94,WorldCoordinateSystem
#97,#95,TrueNorth
#100,#97,ParentContext
#102,#97,ParentContext
#103,#97,ParentContext
#104,#97,ParentContext
#105,#41,OwnerHistory
#105,#97,RepresentationContexts
#105,#92,UnitsInContext
#115,#41,OwnerHistory
#115,#32,ObjectPlacement
#121,#6,Location
#122,#32,PlacementRelTo
#122,#121,RelativePlacement
#124,#41,OwnerHistory
#124,#122,ObjectPlacement
#128,#126,Location
#129,#32,PlacementRelTo
#129,#128,RelativePlacement
#130,#41,OwnerHistory
#130,#129,ObjectPlacement
#134,#132,Location
#140,#138,Location
#141,#32,PlacementRelTo
#141,#140,RelativePlacement
#142,#41,OwnerHistory
#142,#141,ObjectPlacement
#149,#147,Location
#150,#122,PlacementRelTo
#150,#149,RelativePlacement
#153,#9,Points
#153,#151,Points
#155,#100,ContextOfItems
#155,#153,Items
#160,#158,Location
#160,#25,RefDirection
#161,#160,Position
#162,#6,Location
#163,#161,SweptArea
#163,#162,Position
#163,#19,ExtrudedDirection
#208,#9,Points
#208,#164,Points
#208,#166,Points
#208,#168,Points
#208,#170,Points
#208,#172,Points
#208,#174,Points
#208,#176,Points
#208,#178,Points
#208,#180,Points
#208,#182,Points
#208,#184,Points
#208,#186,Points
#208,#188,Points
#208,#190,Points
#208,#192,Points
#208,#194,Points
#208,#196,Points
#208,#198,Points
#208,#200,Points
#208,#202,Points
#208,#204,Points
#208,#206,Points
#208,#9,Points
#212,#210,Location
#212,#21,Axis
#212,#11,RefDirection
#213,#212,Position
#216,#214,Location
#217,#213,BaseSurface
#217,#216,Position
#217,#208,PolygonalBoundary
#218,#163,FirstOperand
#218,#217,SecondOperand
#220,#219,SurfaceColour
#220,#0,SpecularColour
#220,#0,SpecularHighlight
#221,#220,Styles
#223,#221,Styles
#225,#163,Item
#225,#223,Styles
#228,#102,ContextOfItems
#228,#218,Items
#231,#155,Representations
#231,#228,Representations
#235,#41,OwnerHistory
#235,#150,ObjectPlacement
#235,#231,Representation
#247,#221,Styles
#249,#247,Styles
#251,#97,ContextOfItems
#251,#249,Items
#254,#251,Representations
#254,#244,RepresentedMaterial
#259,#258,SurfaceColour
#259,#0,SpecularColour
#259,#0,SpecularHighlight
#260,#259,Styles
#262,#260,Styles
#264,#262,Styles
#266,#97,ContextOfItems
#266,#264,Items
#268,#266,Representations
#268,#257,RepresentedMaterial
#273,#272,SurfaceColour
#273,#0,SpecularColour
#273,#0,SpecularHighlight
#274,#273,Styles
#276,#274,Styles
#278,#276,Styles
#280,#97,ContextOfItems
#280,#278,Items
#282,#280,Representations
#282,#271,RepresentedMaterial
#287,#286,SurfaceColour
